Japanese,English,tts_file,chapter
私はよくテレビを見ます。,I often watch TV.,,3
あした京都に行きます。,I will go to Kyoto tomorrow.,,3
コーヒーを飲みません。,I don't drink coffee.,,3
図書館で本を読みます。,I read books in the library.,,3
うちで昼ごはんを食べます。,I eat lunch at home.,,3
今日学校に行きません。,I don't go to school today.,,3
日曜日に京都に行きます。,I will go to Kyoto on Sunday.,,3
十一時ごろ寝ます。,I go to bed around 11 o'clock.,,3
毎日、日本語を勉強します。,I study Japanese every day.,,3
あひた来ます。,I will come tomorrow.,,3
あさ本を読みます。,I read books in the morning.,,3
週末、何をしますか。,What do you do on weekends?,,3
"A(F):昼ごはんを食べませんか。￥B (M):いいですね。",A(F): Shall we have lunch?;;B(M): That's a good idea.",,3
"A(F):今日、何をしますか。￥B(M):図書館で本を読みます。",A(F): What are you going to do today?;;B(M): I will read books in the library.,,3
"A(M):テニスをしませんか。￥B(F):ううん、ちょっと。","A(F): Shall we play tennis?;;B(F):Um, it's a bit inconvenient",,3
ときどき、映画を見ます。,I sometimes watch movies.,,3
ぜんぜん図書館に行きません。,I never go to the library.,,3
週末は、たいてい何をしますか。,What do you usually do on weekends?,,3
"A(F):今日、何をしますか。￥B(M):図書館で本を読みます。",A(F): What are you going to do today?;;B(M): I will read books in the library.,,3
たけしさんは毎日日本語を勉強します。,Takeshi studies Japanese every day.,,3
"A(M):こんばん映画を見ませんか。￥B(F):ううん、ちょっと。￥A (M):あしたどうですか。￥B(F):いいですね。","A(M): Shall we watch a movie tonight?;;B(F): Um, it's a bit inconvenient.;;A(M): How about tomorrow?;;B(F): That's a good idea.",,3
私はよく6時に起きます,I often get up at 6 o'clock.,,3
私は時々日本の新聞を読みます,I sometimes read Japanese newspapers.,,3
ユイさんはあまり食べません。,Yui doesn't eat much.,,3
